Data Received: 2023-05-06
Record Count: 417 

CustomerID,FirstName,MiddleName,LastName,Salary,Gender,Address,Region,PostalCode
29485,Catherine,R.,Abel,87514.00,NULL,57251 Serene Blvd,"Van Nuys, California, United States",91411-7386
29486,Kim,NULL,Abercrombie,74451.00,NULL,Tanger Factory,"Branch, Minnesota, United States",55056
29489,Frances,B.,Adams,106444.00,NULL,6900 Sisk Road,"Modesto, California, United States",95354
29490,Margaret,J.,Smith,65140.00,NULL,Lewiston Mall,"Lewiston, Idaho, United States",83501-7386
29492,Jay,NULL,Adams,118583.00,Male,Blue Ridge Mall,"Kansas City, Missouri, United States",64106
29494,Samuel,N.,Agcaoili,64374.00,Male,No. 25800-130 King Street West,"Toronto, Ontario, Canada",M4B 1V5
29496,Robert,E.,Ahlering,NULL,Male,6500 East Grant Road,"Tucson, Arizona, United States",85701
29497,François,NULL,Ferrier,69042.00,Male,Eastridge Mall,"Casper, Wyoming, United States",82601
29499,Amy,E.,Alberts,104942.00,NULL,252851 Rowan Place,"Richmond, British Columbia, Canada",V6B 3P7
29502,Paul,L.,Alcorn,97126.00,Male,White Mountain Mall,"Rock Springs, Wyoming, United States",82901
29503,Gregory,F.,Alderson,113269.00,Male,25981 College Street,"Montreal, Quebec, Canada",H1Y 2H5
29503,Gregory,F.,Alderson,92714.00,Male,26910 Indela Road,"Montreal, Quebec, Canada",H1Y 2H5
29505,Michelle,NULL,Alexander,100993.00,NULL,22589 West Craig Road,"North Las Vegas, Nevada, United States",89030-7386
29506,Sean,P.,Jacobson,115847.00,Male,2551 East Warner Road,"Gilbert, Arizona, United States",85233
29508,Marvin,N.,Allen,81704.00,Male,First Colony Mall,"Sugar Land, Texas, United States",77478
29510,Cecil,J.,Allison,100553.00,Male,254 Colonnade Road,"Nepean, Ontario, Canada",K2J 2W5
29511,Oscar,L.,Alpuerto,96939.00,Male,Rocky Mountain Pines Outlet,"Loveland, Colorado, United States",80537
29515,Maxwell,J.,Amland,109293.00,Male,Suite 99320 255 - 510th Avenue S.W.,"Calgary, Alberta, Canada",T2P 2G8
29517,Ramona,J.,Antrim,90597.00,NULL,998 Forest Road,"Saginaw, Michigan, United States",48601
29521,Tom,H,Johnston,100904.00,Male,Belz Factory Outlet,"Las Vegas, Nevada, United States",89106
29522,Thomas,B.,Armstrong,90520.00,Male,Fox Hills,"Culver City, California, United States",90232
29523,John,NULL,Arthur,97614.00,Male,2345 North Freeway,"Houston, Texas, United States",77003
29524,Chris,NULL,Ashton,66212.00,Male,70 N.W. Plaza,"Saint Ann, Missouri, United States",63074
29525,Teresa,NULL,Atkinson,114943.00,NULL,The Citadel Commerce Plaza,"City Of Commerce, California, United States",90040
29527,Robert,A.,Avalos,74883.00,Male,700 Bureau Road,"Montreal, Quebec, Canada",H1Y 2H7
29528,Stephen,M.,Ayers,111089.00,Male,2533 Eureka Rd.,"Southgate, Michigan, United States",48195
29530,Daniel,NULL,Blanco,102210.00,Male,Suite 800 2530 Slater Street,"Ottawa, Ontario, Canada",K4B 1T7
29531,Cory,K.,Booth,77427.00,Male,Eastern Beltway Center,"Las Vegas, Nevada, United States",89106
29532,James,B.,Bailey,112106.00,Male,Southgate Mall,"Missoula, Montana, United States",59801
29533,Douglas,A.,Baldwin,93021.00,Male,Horizon Outlet Center,"Holland, Michigan, United States",49423
29535,Wayne,N.,Banack,60819.00,Male,48255 I-10 E. @ Eastpoint Blvd.,"Baytown, Texas, United States",77520
29536,Robert,L.,Barker,68195.00,Male,6789 Warren Road,"Westland, Michigan, United States",48185
29539,Josh,NULL,Barnhill,76439.00,Male,25 First Canadian Place,"Toronto, Ontario, Canada",M4B 1V5
29541,Gytis,M,Barzdukas,94503.00,NULL,25900-700-9th Ave S.W.,"Calgary, Alberta, Canada",T2P 2G8
29544,Shaun,NULL,Beasley,105808.00,Male,2500-622 5th Ave Sw,"Calgary, Alberta, Canada",T2P 2G8
29545,John,A.,Beaver,107612.00,Male,1318 Lasalle Street,"Bothell, Washington, United States",98011
29545,John,A.,Beaver,119942.00,Male,99300 223rd Southeast,"Bothell, Washington, United States",98011
29546,Christopher,R.,Beck,72473.00,Male,"93-2501, Blackfriars Road,","London, England, United Kingdom",SE1 8HL
29548,Ann,NULL,Beebe,95747.00,NULL,25537 Hillside Avenue,"Victoria, British Columbia, Canada",V8V
29550,Stanley,A.,Alan,83404.00,Male,567 Sw Mcloughlin Blvd,"Milwaukie, Oregon, United States",97222
29553,Edna,J.,Benson,113944.00,NULL,Po Box 8035996,"Dallas, Texas, United States",75201
29554,Payton,P.,Benson,93992.00,Male,997000 Telegraph Rd.,"Southfield, Michigan, United States",48034
29557,Alexander,J.,Berger,112472.00,Male,"253711 Mayfield Place, Unit 150","Richmond, British Columbia, Canada",V6B 3P7
29558,John,M.,Berger,84276.00,Male,5700 Explorer Drive,"Mississauga, Ontario, Canada",L4W 5J3
29559,Robert,M.,Bernacchi,80711.00,Male,25915 140th Ave Ne,"Bellevue, Washington, United States",98004
29559,Robert,M.,Bernacchi,112182.00,Male,2681 Eagle Peak,"Bellevue, Washington, United States",98004
29560,Matthias,NULL,Berndt,88582.00,Male,Escondido,"Escondido, California, United States",92025
29562,Steven,B.,Brown,85474.00,Male,5500 Grossmont Center Drive,"La Mesa, California, United States",91941
29565,Jimmy,NULL,Bischoff,78543.00,Male,3065 Santa Margarita Parkway,"Trabuco Canyon, California, United States",92679
29566,Mae,M.,Black,75868.00,NULL,Redford Plaza,"Redford, Michigan, United States",48239
29567,Jackie,E.,Blackwell,94513.00,NULL,2575 Bloor Street East,"Toronto, Ontario, Canada",M4B 1V6
29568,Donald,L.,Blanton,63924.00,Male,Corporate Office,"El Segundo, California, United States",90245
29569,Linda,E.,Burnett,70023.00,NULL,2505 Gateway Drive,"North Sioux City, South Dakota, United States",57049
29570,Michael,Greg,Blythe,72865.00,Male,9903 Highway 6 South,"Houston, Texas, United States",77003
29571,Gabriel,L.,Bockenkamp,71592.00,NULL,67 Rainer Ave S,"Renton, Washington, United States",98055
